PWSID,System_Name,System_Type,County,Population_Served,Uses_SW_Purchased,Uses_SW_Produced,Uses_SW,Uses_GW,Dominant_Source
CA1502231,ROSAMOND SCHOOL WATER SYSTEM,NTNC,KERN  ,940,NO,NO,NO,YES,groundwater
CA1502561,CHEVRON SAN JOAQUIN,NTNC,KERN  ,300,YES,NO,YES,NO,surface water
CA1510002,BORON CSD,C,KERN  ,2253,YES,NO,YES,YES,surface water
CA1510006,EAST NILES CSD,C,KERN  ,32517,YES,NO,YES,YES,surface water
CA1510014,MOJAVE PUD,C,KERN  ,4699,YES,NO,YES,YES,groundwater
CA1510015,OILDALE MWC,C,KERN  ,39756,YES,NO,YES,YES,surface water
CA1510027,DESERT LAKE COMM SERV DIST,C,KERN  ,968,YES,NO,YES,NO,surface water
CA1510032,"CALIFORNIA CITY, CITY OF",C,KERN  ,14198,NO,NO,NO,YES,groundwater
CA1510053,ANTELOPE VALLEY E KERN WTR AGY-ROSAMOND,C,KERN  ,0,NO,NO,NO,YES,groundwater
CA1510701,EDWARDS AFB - MAIN BASE,C,KERN  ,12355,YES,NO,YES,YES,surface water
CA1510702,EDWARDS AFB - AIR FORCE RESEARCH LAB,NTNC,KERN  ,444,YES,NO,YES,YES,surface water
CA1700519,CRESCENT BAY IMPROVEMENT COMPANY,C,LAKE  ,30,NO,NO,NO,YES,groundwater
CA1900062,LOS ANGELES RESIDENTIAL COMMUNITY FOUNDA,C,LOS ANGELES  ,184,YES,NO,YES,NO,surface water
CA1900301,SHADOW ACRES MUTUAL WATER COMPANY,C,LOS ANGELES  ,450,YES,NO,YES,YES,surface water
CA1900523,WHITE FENCE FARMS MWC NO.3,C,LOS ANGELES  ,749,YES,NO,YES,YES,surface water
CA1900715,HALFWAY HOUSE CAFE,NC,LOS ANGELES  ,25,NO,NO,NO,NO,no data
CA1900803,EL DORADO MUTUAL WATER CO.,C,LOS ANGELES  ,660,YES,NO,YES,YES,groundwater
CA1910001,CITY OF ALHAMBRA,C,LOS ANGELES  ,83750,YES,NO,YES,YES,groundwater
CA1910005,"LOS ANGELES CWWD 40, REG. 38-LAKE LA",C,LOS ANGELES  ,12620,YES,NO,YES,YES,surface water
CA1910010,CALIFORNIA WATER SERVICE CO.-LANCASTER,C,LOS ANGELES  ,1430,YES,NO,YES,YES,groundwater
CA1910011,"GSWC - BELL, BELL GARDENS",C,LOS ANGELES  ,54309,YES,NO,YES,YES,groundwater
CA1910012,BELLFLOWER HOME GARDEN WATER COMPANY,C,LOS ANGELES  ,1129,YES,NO,YES,NO,surface water
CA1910013,BELLFLOWER - SOMERSET MWC,C,LOS ANGELES  ,46300,YES,NO,YES,YES,groundwater
CA1910017,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,C,LOS ANGELES  ,135022,YES,NO,YES,YES,surface water
CA1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,C,LOS ANGELES  ,5999,YES,NO,YES,NO,surface water
CA1910019,"CERRITOS - CITY, WATER DEPT.",C,LOS ANGELES  ,49578,YES,NO,YES,YES,groundwater
CA1910021,LIBERTY UTILITIES - COMPTON,C,LOS ANGELES  ,23802,YES,NO,YES,YES,groundwater
CA1910022,CALIF STATE POLYTECHNICAL UNIV - POMONA,C,LOS ANGELES  ,36455,MAYBE,NO,MAYBE,YES,groundwater dominant
CA1910024,GSWC - CLAREMONT,C,LOS ANGELES  ,39279,YES,NO,YES,YES,groundwater
CA1910025,"LOS ANGELES CWWD 40, REG. 39-ROCK CREEK",C,LOS ANGELES  ,870,NO,NO,NO,YES,groundwater
CA1910026,"COMPTON-CITY, WATER DEPT.",C,LOS ANGELES  ,74877,NO,NO,NO,YES,groundwater
CA1910028,CRESCENTA VALLEY CWD,C,LOS ANGELES  ,32665,YES,NO,YES,YES,groundwater
CA1910030,GSWC - CULVER CITY,C,LOS ANGELES  ,38029,YES,NO,YES,NO,surface water
CA1910032,FOOTHILL MUNICIPAL WATER DIST.,C,LOS ANGELES  ,0,YES,NO,YES,NO,surface water
CA1910033,CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,C,LOS ANGELES  ,143464,YES,NO,YES,YES,surface water
CA1910036,CALIFORNIA WATER SERVICE CO. - ELA,C,LOS ANGELES  ,151902,YES,NO,YES,YES,groundwater
CA1910040,"EL SEGUNDO-CITY, WATER DEPT.",C,LOS ANGELES  ,16898,YES,NO,YES,NO,surface water
CA1910043,"GLENDALE-CITY, WATER DEPT.",C,LOS ANGELES  ,201334,YES,NO,YES,YES,surface water
CA1910044,"GLENDORA-CITY, WATER DEPT.",C,LOS ANGELES  ,52558,YES,NO,YES,YES,groundwater
CA1910046,SUBURBAN WATER SYSTEMS-GLENDORA,C,LOS ANGELES  ,5249,YES,NO,YES,NO,surface water
CA1910047,HAWTHORNE-CITY WATER DEPT.,C,LOS ANGELES  ,44729,YES,NO,YES,YES,surface water
CA1910049,"HUNTINGTON PARK-CITY, WATER DEPT.",C,LOS ANGELES  ,15275,YES,NO,YES,YES,groundwater
CA1910050,"COMMERCE-CITY, WATER DEPT.",C,LOS ANGELES  ,4207,YES,NO,YES,YES,surface water
CA1910051,"INGLEWOOD- CITY, WATER DEPT.",C,LOS ANGELES  ,82041,YES,NO,YES,YES,surface water
CA1910052,CAL/AM WATER COMPANY - BALDWIN HILLS,C,LOS ANGELES  ,20859,YES,NO,YES,YES,groundwater
CA1910054,LA CANADA IRRIGATION DIST.,C,LOS ANGELES  ,9300,YES,NO,YES,YES,surface water
CA1910061,LAS FLORES WATER CO.,C,LOS ANGELES  ,4847,NO,NO,NO,YES,groundwater
CA1910062,"LA VERNE, CITY WD",C,LOS ANGELES  ,32206,YES,NO,YES,YES,surface water
CA1910065,LONG BEACH UTILITIES DEPARTMENT,C,LOS ANGELES  ,460682,YES,NO,YES,YES,groundwater
CA1910070,LOS ANGELES CWWD 40 REG 4 & 34 LANCASTER,C,LOS ANGELES  ,204393,YES,NO,YES,YES,surface water
CA1910072,GSWC - WILLOWBROOK,C,LOS ANGELES  ,10615,YES,NO,YES,YES,groundwater
CA1910073,"LOMITA-CITY, WATER DEPT.",C,LOS ANGELES  ,20256,YES,NO,YES,NO,surface water
CA1910075,LOS ANGELES CWWD 21-KAGEL CANYON,C,LOS ANGELES  ,395,YES,NO,YES,NO,surface water
CA1910077,GSWC - FLORENCE/GRAHAM,C,LOS ANGELES  ,62970,YES,NO,YES,YES,groundwater
CA1910083,"MANHATTAN BEACH-CITY, WATER DEPT.",C,LOS ANGELES  ,34668,YES,NO,YES,YES,surface water
CA1910084,MAYWOOD MUTUAL WATER CO. #1,C,LOS ANGELES  ,5500,NO,NO,NO,YES,groundwater
CA1910085,MAYWOOD MUTUAL WATER CO. #2,C,LOS ANGELES  ,6349,YES,NO,YES,YES,groundwater
CA1910086,MAYWOOD MUTUAL WATER CO. #3,C,LOS ANGELES  ,9500,NO,NO,NO,YES,groundwater
CA1910096,SANTA CLARITA VALLEY W.A.-NEWHALL DIV.,C,LOS ANGELES  ,17154,YES,NO,YES,YES,groundwater
CA1910098,GSWC - NORWALK,C,LOS ANGELES  ,42997,YES,NO,YES,YES,groundwater
CA1910103,PALM RANCH IRRIGATION DIST.,C,LOS ANGELES  ,5474,YES,NO,YES,YES,groundwater
CA1910104,CALIFORNIA WATER SERVICE CO. - PALOS VER,C,LOS ANGELES  ,70819,YES,NO,YES,NO,surface water
CA1910105,"PARAMOUNT - CITY, WATER DEPT.",C,LOS ANGELES  ,55200,YES,NO,YES,YES,groundwater
CA1910108,CITY OF BELL GARDENS,C,LOS ANGELES  ,11292,YES,NO,YES,NO,surface water
CA1910117,SAN GABRIEL VALLEY WATER CO-MONTEBELLO 2,C,LOS ANGELES  ,5300,YES,NO,YES,NO,surface water
CA1910124,PASADENA WATER AND POWER,C,LOS ANGELES  ,170950,YES,NO,YES,YES,surface water
CA1910127,"COVINA-CITY, WATER DEPT.",C,LOS ANGELES  ,33300,YES,NO,YES,NO,surface water
CA1910130,QUARTZ HILL WATER DIST.,C,LOS ANGELES  ,19100,YES,NO,YES,YES,surface water
CA1910134,CALIFORNIA WATER SERVICE CO. - HERM/REDO,C,LOS ANGELES  ,96657,YES,NO,YES,YES,surface water
CA1910139,CAL/AM WATER COMPANY - SAN MARINO,C,LOS ANGELES  ,47731,YES,NO,YES,YES,groundwater
CA1910142,GSWC-SAN DIMAS,C,LOS ANGELES  ,56426,YES,NO,YES,YES,surface water
CA1910146,"SANTA MONICA-CITY, WATER DIVISION",C,LOS ANGELES  ,93076,YES,NO,YES,YES,surface water
CA1910147,SUBURBAN WATER SYSTEMS - SATIVA,C,LOS ANGELES  ,4385,YES,NO,YES,NO,surface water
CA1910148,"SIERRA MADRE-CITY, WATER DEPT.",C,LOS ANGELES  ,11000,NO,NO,NO,YES,groundwater
CA1910149,"SIGNAL HILL - CITY, WATER DEPT.",C,LOS ANGELES  ,11795,YES,NO,YES,YES,groundwater
CA1910152,"SOUTH GATE-CITY, WATER DEPT.",C,LOS ANGELES  ,76443,NO,NO,NO,YES,groundwater
CA1910154,CITY OF SOUTH PASADENA,C,LOS ANGELES  ,25329,YES,NO,YES,YES,groundwater
CA1910155,GSWC - SOUTHWEST,C,LOS ANGELES  ,275369,YES,NO,YES,YES,surface water
CA1910156,"BEVERLY HILLS-CITY, WATER DEPT.",C,LOS ANGELES  ,40856,YES,NO,YES,YES,surface water
CA1910161,LIBERTY UTILITIES - LYNWOOD,C,LOS ANGELES  ,24171,YES,NO,YES,YES,groundwater
CA1910163,VALENCIA HEIGHTS WATER CO.,C,LOS ANGELES  ,7775,YES,NO,YES,YES,surface water
CA1910166,VALLEY WATER CO.,C,LOS ANGELES  ,10070,YES,NO,YES,YES,surface water
CA1910167,"VERNON-CITY, WATER DEPT.",C,LOS ANGELES  ,28000,YES,NO,YES,YES,groundwater
CA1910179,"BURBANK-CITY, WATER DEPT.",C,LOS ANGELES  ,105451,YES,NO,YES,YES,groundwater
CA1910185,LOS ANGELES CWWD 36-VAL VERDE,C,LOS ANGELES  ,5701,YES,NO,YES,NO,surface water
CA1910191,"NORWALK - CITY, WATER DEPT.",C,LOS ANGELES  ,17790,YES,NO,YES,YES,surface water
CA1910194,ROWLAND WATER DISTRICT,C,LOS ANGELES  ,54660,YES,NO,YES,NO,surface water
CA1910200,SUBURBAN WATER SYSTEMS-COVINA KNOLLS,C,LOS ANGELES  ,1437,YES,NO,YES,NO,surface water
CA1910203,"LOS ANGELES CWWD 40, R 24,27,33-PEARBLSM",C,LOS ANGELES  ,11183,YES,NO,YES,YES,surface water
CA1910204,LOS ANGELES CWWD 29 & 80-MALIBU,C,LOS ANGELES  ,32695,YES,NO,YES,NO,surface water
CA1910205,SUBURBAN WATER SYSTEMS-SAN JOSE,C,LOS ANGELES  ,168843,YES,NO,YES,YES,surface water
CA1910211,LIBERTY UTILITIES - BELLFLOWER-NORWALK,C,LOS ANGELES  ,72964,YES,NO,YES,YES,surface water
CA1910213,"TORRANCE-CITY, WATER DEPT.",C,LOS ANGELES  ,106183,YES,NO,YES,YES,surface water
CA1910218,LA HABRA HEIGHTS CWD,C,LOS ANGELES  ,5682,YES,NO,YES,YES,groundwater
CA1910223,GSWC-SOUTH SAN GABRIEL,C,LOS ANGELES  ,25907,YES,NO,YES,YES,groundwater
CA1910234,WALNUT VALLEY WATER DISTRICT,C,LOS ANGELES  ,100449,YES,NO,YES,NO,surface water
CA1910240,SANTA CLARITA VALLEY W.A.-VALENCIA DIVIS,C,LOS ANGELES  ,110329,YES,NO,YES,YES,groundwater
CA1910241,LIBERTY UTILITIES - MESA CREST,C,LOS ANGELES  ,2336,YES,NO,YES,NO,surface water
CA1910243,CALIFORNIA WATER SERVICE CO-LEONA VALLEY,C,LOS ANGELES  ,905,YES,NO,YES,NO,surface water
CA1910245,"SANTA FE SPRINGS - CITY, WATER DEPT.",C,LOS ANGELES  ,19219,YES,NO,YES,NO,surface water
CA1910247,SANTA CLARITA VALLEY W.A.-CASTAIC DIV.,C,LOS ANGELES  ,9967,YES,NO,YES,YES,groundwater
CA1910248,LOS ANGELES CWWD 37-ACTON,C,LOS ANGELES  ,4895,YES,NO,YES,YES,surface water
CA1910249,WHITE FENCE FARMS MWC NO. 1,C,LOS ANGELES  ,1362,YES,NO,YES,YES,groundwater
CA1910250,SANTA CLARITA VALLEY W.A.-PINETREE DIV.,C,LOS ANGELES  ,15713,YES,NO,YES,YES,surface water
CA1910255,SANTA CLARITA VALLEY W.A.-TESORO DIV.,C,LOS ANGELES  ,6453,YES,NO,YES,NO,surface water
CA2110007,COAST SPRINGS - CAL. WATER SERVICE (PUC),C,MARIN  ,396,MAYBE,NO,MAYBE,YES,groundwater dominant
CA2110350,NPS GGNRA,C,MARIN  ,18447,YES,NO,YES,NO,surface water
CA2110505,NPS PRNS - SKY CAMP CAMPGROUND,NC,MARIN  ,75,YES,NO,YES,NO,surface water
CA2210511,YOSEMITE NPS-GLACIER POINT,NC,MARIPOSA  ,4000,YES,#N/A,#N/A,#N/A,#N/A
CA2210907,MUSD - SIERRA FOOTHILL CHARTER SCHOOL,NTNC,MARIPOSA  ,159,YES,NO,YES,NO,surface water
CA2300507,CALPELLA COUNTY WATER DISTRICT,C,MENDOCINO  ,548,YES,NO,YES,YES,surface water
CA2310006,MILLVIEW COUNTY WATER DISTRICT,C,MENDOCINO  ,5500,NO,NO,NO,YES,groundwater
CA2400209,SAN LUIS HILLS,C,MERCED  ,300,NO,NO,NO,NO,no data
CA2410303,CDPR FOUR RIVERS DISTRICT-BASALT,NC,MERCED  ,363,MAYBE,NO,MAYBE,MAYBE,purchased water dominant
CA2410305,CDPR-SECTOR WIDE POTABLE WATER TANKS,NC,MERCED  ,172,YES,NO,YES,NO,surface water
CA2600529,ANNETT'S MONO VILLAGE,NC,MONO  ,500,NO,NO,NO,YES,groundwater
CA2701906,LAKE SAN ANTONIO PARK WS,C,MONTEREY  ,54,NO,NO,NO,YES,groundwater
CA2702595,CACHAGUA COMM CTR WS,NTNC,MONTEREY  ,33,NO,NO,NO,YES,groundwater
CA2800012,LMR MAIN STREET PARTNERS LLC,NTNC,NAPA  ,26,NO,NO,NO,YES,groundwater
CA2800059,SUTTER HOME WINERY,NTNC,NAPA  ,417,YES,NO,YES,YES,surface water
CA2800110,MARKHAM VINEYARDS,NC,NAPA  ,25,YES,NO,YES,YES,surface water
CA2800521,CIRCLE OAKS WATER DISTRICT,C,NAPA  ,500,NO,NO,NO,YES,groundwater
CA2800578,ENCHANTED HILLS,NC,NAPA  ,206,NO,NO,NO,YES,groundwater
CA2800840,NAPA COUNTY SCHOOLS: POPE VALLEY,NTNC,NAPA  ,100,MAYBE,NO,MAYBE,MAYBE,purchased water dominant
CA2801027,PEJU PROVINCE,NTNC,NAPA  ,27,NO,NO,NO,YES,groundwater
CA2810007,TOWN OF YOUNTVILLE,C,NAPA  ,2751,YES,NO,YES,YES,surface water
CA3000734,KNOTT S BERRY FARM,NTNC,ORANGE  ,3000,YES,NO,YES,YES,surface water
CA3000980,SMWD-NICHOLS INSTITUTE,NTNC,ORANGE  ,1600,YES,NO,YES,NO,surface water
CA3010002,CITY OF BREA,C,ORANGE  ,47589,YES,NO,YES,NO,surface water
CA3010003,CITY OF BUENA PARK,C,ORANGE  ,81998,YES,NO,YES,YES,groundwater
CA3010004,MESA  WATER DISTRICT,C,ORANGE  ,110000,YES,NO,YES,YES,groundwater
CA3010010,CITY OF FULLERTON,C,ORANGE  ,141874,YES,NO,YES,YES,groundwater
CA3010017,LAGUNA BEACH COUNTY WD,C,ORANGE  ,18401,YES,NO,YES,YES,surface water
CA3010018,CITY OF LA HABRA,C,ORANGE  ,63118,YES,NO,YES,YES,surface water
CA3010022,GOLDEN STATE WC - WEST ORANGE COUNTY,C,ORANGE  ,113106,YES,NO,YES,YES,groundwater
CA3010023,CITY OF NEWPORT BEACH,C,ORANGE  ,68572,YES,NO,YES,YES,groundwater
CA3010027,CITY OF ORANGE,C,ORANGE  ,117150,YES,NO,YES,YES,groundwater
CA3010030,CITY OF SAN JUAN CAPISTRANO,C,ORANGE  ,38958,YES,NO,YES,NO,surface water
CA3010035,GOLDEN STATE WC - PLACENTIA/YORBA LINDA,C,ORANGE  ,49808,YES,NO,YES,YES,surface water
CA3010036,CITY OF SAN CLEMENTE,C,ORANGE  ,51545,YES,NO,YES,NO,surface water
CA3010037,YORBA LINDA WATER DISTRICT,C,ORANGE  ,84054,YES,NO,YES,YES,groundwater
CA3010038,CITY OF SANTA ANA,C,ORANGE  ,337716,YES,NO,YES,YES,groundwater
CA3010041,CITY OF SEAL BEACH,C,ORANGE  ,24937,YES,NO,YES,YES,groundwater
CA3010042,SOUTH COAST WATER DISTRICT,C,ORANGE  ,34724,YES,NO,YES,YES,surface water
CA3010046,CITY OF TUSTIN,C,ORANGE  ,66600,YES,NO,YES,YES,surface water
CA3010047,GOLDEN STATE WC - COWAN HEIGHTS,C,ORANGE  ,6986,YES,NO,YES,NO,surface water
CA3010053,CITY OF HUNTINGTON BEACH,C,ORANGE  ,201000,YES,NO,YES,YES,groundwater
CA3010062,CITY OF GARDEN GROVE,C,ORANGE  ,174226,YES,NO,YES,NO,surface water
CA3010064,CITY OF WESTMINSTER,C,ORANGE  ,95256,YES,NO,YES,YES,groundwater
CA3010068,EAST ORANGE COUNTY WD - RZ,C,ORANGE  ,3222,YES,NO,YES,NO,surface water
CA3010069,CITY OF FOUNTAIN VALLEY,C,ORANGE  ,56747,NO,NO,NO,YES,groundwater
CA3010071,JOINT REGIONAL WATER SUPPLY SYSTEM,C,ORANGE  ,0,YES,NO,YES,NO,surface water
CA3010073,MOULTON NIGUEL WATER DISTRICT,C,ORANGE  ,170236,YES,NO,YES,NO,surface water
CA3010079,EL TORO WATER DISTRICT,C,ORANGE  ,47911,YES,NO,YES,NO,surface water
CA3010093,EAST ORANGE COUNTY WD - WZ,C,ORANGE  ,0,YES,NO,YES,NO,surface water
CA3010100,CITY OF LA PALMA,C,ORANGE  ,15948,NO,NO,NO,YES,groundwater
CA3010101,SANTA MARGARITA WATER DISTRICT,C,ORANGE  ,164604,YES,NO,YES,NO,surface water
CA3100528,GOLDEN HILLS MUTUAL WATER CO,C,PLACER  ,84,YES,NO,YES,NO,surface water
CA3103835,LAKEVIEW HILLS COMMUNITY ASSOC,C,PLACER  ,499,YES,NO,YES,NO,surface water
CA3103836,HIDDEN VALLEY COMMUNITY ASSOCIATION,C,PLACER  ,499,YES,NO,YES,NO,surface water
CA3107339,FOLSOM LAKE MUTUAL WATER CO,C,PLACER  ,333,YES,NO,YES,NO,surface water
CA3110004,CITY OF LINCOLN,C,PLACER  ,51252,YES,NO,YES,YES,surface water
CA3110011,TAHOE CITY PUD - MCKINNEY/QUAIL,C,PLACER  ,844,NO,NO,NO,YES,groundwater
CA3110015,FULTON WATER COMPANY,C,PLACER  ,2593,NO,NO,NO,NO,no data
CA3110040,PLACER CWA - BIANCHI ESTATES,C,PLACER  ,102,NO,NO,NO,NO,no data
CA3110041,MIDWAY HEIGHTS C. W. D.,C,PLACER  ,1469,YES,NO,YES,NO,surface water
CA3110150,CAL AM - WEST PLACER,C,PLACER  ,5900,YES,NO,YES,NO,surface water
CA3210002,PLUMAS COUNTY FLOOD CONTROL,C,PLUMAS  ,0,NO,NO,NO,NO,no data
CA3301283,GLEN EDEN SUN CLUB,C,RIVERSIDE  ,566,YES,NO,YES,YES,groundwater
CA3301494,PALM SPRINGS AERIAL TRAMWAY,NTNC,RIVERSIDE  ,1565,YES,NO,YES,NO,surface water
CA3310004,BOX SPRINGS MUTUAL WC,C,RIVERSIDE  ,3542,YES,NO,YES,YES,groundwater
CA3310012,ELSINORE VALLEY MWD,C,RIVERSIDE  ,165586,MAYBE,NO,MAYBE,YES,purchased water dominant
CA3310018,HOME GARDENS COUNTY WD,C,RIVERSIDE  ,3095,YES,NO,YES,NO,surface water
CA3310025,"NORCO, CITY OF",C,RIVERSIDE  ,24909,YES,NO,YES,YES,surface water
CA3310026,NUEVO WATER COMPANY,C,RIVERSIDE  ,6733,YES,NO,YES,YES,surface water
CA3310029,"PERRIS, CITY OF",C,RIVERSIDE  ,7854,YES,NO,YES,NO,surface water
CA3310036,WESTERN MWD - MURRIETA DIVISION,C,RIVERSIDE  ,16373,YES,NO,YES,YES,surface water
CA3310038,RANCHO CALIFORNIA WATER DISTRICT,C,RIVERSIDE  ,144088,YES,NO,YES,YES,groundwater
CA3310046,FARM MUTUAL W.C. (THE),C,RIVERSIDE  ,4026,YES,NO,YES,YES,surface water
CA3310049,WESTERN MWD,C,RIVERSIDE  ,82560,YES,NO,YES,NO,surface water
CA3310074,TEMESCAL VALLEY WATER DISTRICT,C,RIVERSIDE  ,20526,YES,NO,YES,NO,surface water
CA3310075,WESTERN MWD (ARLINGTON),C,RIVERSIDE  ,0,YES,NO,YES,YES,surface water
CA3310076,WESTERN MWD (ID A - RAINBOW),C,RIVERSIDE  ,186,YES,NO,YES,NO,surface water
CA3310800,CALIFORNIA REHABILITATION CENTER - NORCO,C,RIVERSIDE  ,4300,YES,NO,YES,NO,surface water
CA3400139,SACRAMENTO INTERNATIONAL AIRPORT [SWS],NTNC,SACRAMENTO  ,41717,YES,NO,YES,NO,surface water
CA3400473,METRO AIR PARK WATER SYSTEM,NTNC,SACRAMENTO  ,2500,YES,NO,YES,NO,surface water
CA3410001,SACRAMENTO SUBURBAN WATER DISTRICT,C,SACRAMENTO  ,194444,YES,NO,YES,YES,groundwater
CA3410006,CITRUS HEIGHTS WATER DISTRICT,C,SACRAMENTO  ,66815,YES,NO,YES,YES,surface water
CA3410009,FAIR OAKS WATER DISTRICT,C,SACRAMENTO  ,35377,YES,NO,YES,YES,surface water
CA3410010,CAL AM - SUBURBAN ROSEMONT,C,SACRAMENTO  ,53757,YES,NO,YES,YES,groundwater
CA3410013,CAL AM - LINCOLN OAKS,C,SACRAMENTO  ,47546,NO,NO,NO,YES,groundwater
CA3410016,ORANGE VALE WATER COMPANY,C,SACRAMENTO  ,16861,YES,NO,YES,NO,surface water
CA3410017,CAL AM - PARKWAY,C,SACRAMENTO  ,49150,YES,NO,YES,YES,groundwater
CA3410020,CITY OF SACRAMENTO MAIN,C,SACRAMENTO  ,520746,MAYBE,NO,MAYBE,MAYBE,purchased water dominant
CA3410023,CAL AM - FRUITRIDGE VISTA,C,SACRAMENTO  ,15167,YES,NO,YES,YES,groundwater
CA3410027,CAL AM - SECURITY PARK,NTNC,SACRAMENTO  ,102,YES,NO,YES,YES,groundwater
CA3410030,"FOLSOM, CITY OF - ASHLAND",C,SACRAMENTO  ,3538,YES,NO,YES,NO,surface water
CA3410031,CAL AM - ANTELOPE,C,SACRAMENTO  ,35204,NO,NO,NO,YES,groundwater
CA3410045,CAL AM - ARDEN,C,SACRAMENTO  ,3950,YES,NO,YES,YES,groundwater
CA3500507,BITTERWATER-TULLY SCHOOL WS,NTNC,SAN BENITO  ,45,NO,NO,NO,YES,groundwater
CA3510003,SUNNYSLOPE COUNTY WATER DIST,C,SAN BENITO  ,23499,YES,NO,YES,YES,groundwater
CA3600087,DEER LODGE WATER SYSTEM,C,SAN BERNARDINO  ,845,YES,NO,YES,YES,surface water
CA3600209,ROCKY COMFORT MUTUAL WATER CO,C,SAN BERNARDINO  ,160,NO,NO,NO,NO,no data
CA3600258,SKY FOREST MWC,C,SAN BERNARDINO  ,492,YES,NO,YES,YES,surface water
CA3601159,CALIFORNIA STEEL INDUSTRIES,NTNC,SAN BERNARDINO  ,500,YES,NO,YES,YES,groundwater
CA3610002,ALPINE WATER USERS ASSOCIATION,C,SAN BERNARDINO  ,2534,YES,NO,YES,YES,groundwater
CA3610011,CEDARPINES PARK MWC,C,SAN BERNARDINO  ,2458,YES,NO,YES,YES,groundwater
CA3610015,CRESTLINE VILLAGE CWD - DIVISION 10,C,SAN BERNARDINO  ,10030,YES,NO,YES,YES,surface water
CA3610023,GREEN VALLEY MWC,C,SAN BERNARDINO  ,3062,YES,NO,YES,YES,groundwater
CA3610026,SBDNO COUNTY SERVICE AREA 70 CEDAR GLEN,C,SAN BERNARDINO  ,1239,YES,NO,YES,NO,surface water
CA3610029,MONTE VISTA CWD,C,SAN BERNARDINO  ,56422,YES,NO,YES,YES,groundwater
CA3610034,ONTARIO MUNICIPAL UTILITIES COMPANY,C,SAN BERNARDINO  ,185010,YES,NO,YES,YES,groundwater
CA3610036,"CHINO HILLS, CITY OF",C,SAN BERNARDINO  ,77964,YES,NO,YES,YES,surface water
CA3610045,LACSD - RIMFOREST,C,SAN BERNARDINO  ,817,YES,NO,YES,NO,surface water
CA3610046,VALLEY VIEW PARK MWC,C,SAN BERNARDINO  ,499,YES,NO,YES,YES,surface water
CA3610051,VALLEY OF ENCHANTMENT MWC,C,SAN BERNARDINO  ,1992,YES,NO,YES,YES,surface water
CA3610052,VICTORVILLE WATER DISTRICT,C,SAN BERNARDINO  ,124653,YES,NO,YES,YES,groundwater
CA3610053,WESTERN HEIGHTS WATER COMPANY,C,SAN BERNARDINO  ,7521,NO,NO,NO,YES,groundwater
CA3610062,RUNNING SPRINGS WATER DISTRICT,C,SAN BERNARDINO  ,5268,YES,NO,YES,YES,groundwater
CA3610093,ARROWHEAD VILLAS MUTUAL SERVICE COMPANY,C,SAN BERNARDINO  ,2654,YES,NO,YES,YES,surface water
CA3700866,DEL DIOS MUTUAL WATER COMPANY,C,SAN DIEGO  ,330,NO,NO,NO,YES,groundwater
CA3700938,YUIMA MUNICIPAL WATER DISTRICT IDA,C,SAN DIEGO  ,769,MAYBE,NO,MAYBE,YES,purchased water dominant
CA3701408,YUIMA MUNICIPAL WATER DISTRICT,C,SAN DIEGO  ,360,YES,NO,YES,YES,surface water
CA3710001,CAL-AM WATER CORONADO,C,SAN DIEGO  ,106000,YES,NO,YES,NO,surface water
CA3710002,VALLECITOS WD,C,SAN DIEGO  ,111000,YES,NO,YES,NO,surface water
CA3710004,"DEL MAR, CITY OF",C,SAN DIEGO  ,3929,YES,NO,YES,NO,surface water
CA3710005,CARLSBAD MWD,C,SAN DIEGO  ,92865,YES,NO,YES,NO,surface water
CA3710008,FALLBROOK PUD,C,SAN DIEGO  ,35237,YES,NO,YES,YES,surface water
CA3710013,LAKESIDE WD,C,SAN DIEGO  ,35500,YES,NO,YES,YES,surface water
CA3710016,RAINBOW MUNICIPAL WD,C,SAN DIEGO  ,23536,YES,NO,YES,NO,surface water
CA3710018,RINCON DEL DIABLO MWD (ID-1),C,SAN DIEGO  ,29206,YES,NO,YES,NO,surface water
CA3710019,RAMONA MUNICIPAL WD,C,SAN DIEGO  ,35135,YES,NO,YES,NO,surface water
CA3710021,SAN DIEGUITO WD,C,SAN DIEGO  ,40103,YES,NO,YES,NO,surface water
CA3710026,VALLEY CENTER MWD,C,SAN DIEGO  ,29708,YES,NO,YES,NO,surface water
CA3710027,VISTA IRRIGATION DISTRICT,C,SAN DIEGO  ,132838,MAYBE,NO,MAYBE,MAYBE,purchased water dominant
CA3710034,OTAY WATER DISTRICT,C,SAN DIEGO  ,227957,YES,NO,YES,NO,surface water
CA3710037,PADRE DAM MWD,C,SAN DIEGO  ,88963,YES,NO,YES,NO,surface water
CA3710044,RINCON DEL DIABLO MWD (ID-A),C,SAN DIEGO  ,3316,YES,NO,YES,NO,surface water
CA3710707,USN SAN CLEMENTE ISLAND,C,SAN DIEGO  ,670,YES,NO,YES,NO,surface water
CA3710750,NAS NORTH ISLAND & NAB CORONADO,C,SAN DIEGO  ,36500,YES,NO,YES,NO,surface water
CA3810008,THOMAS SHAFT WHOLESALE,C,SAN JOAQUIN  ,1,YES,NO,YES,NO,surface water
CA3810010,SAN FRANCISCO INTERNATIONAL AIRPORT,NTNC,SAN FRANCISCO  ,136648,YES,NO,YES,NO,surface water
